user,label
user1_original_normalized_keypoints,0
user1_mirrored_normalized_keypoints,0
user1_rotate_normalized_keypoints,0
user1_brightness_normalized_keypoints,0
user1_noise_normalized_keypoints,0
user2_original_normalized_keypoints,1
user2_mirrored_normalized_keypoints,1
user2_rotate_normalized_keypoints,1
user2_brightness_normalized_keypoints,1
user2_noise_normalized_keypoints,1
user3_original_normalized_keypoints,1
user3_mirrored_normalized_keypoints,1
user3_rotate_normalized_keypoints,1
user3_brightness_normalized_keypoints,1
user3_noise_normalized_keypoints,1
user4_original_normalized_keypoints,1
user4_mirrored_normalized_keypoints,1
user4_rotate_normalized_keypoints,1
user4_brightness_normalized_keypoints,1
user4_noise_normalized_keypoints,1
user5_original_normalized_keypoints,0
user5_mirrored_normalized_keypoints,0
user5_rotate_normalized_keypoints,0
user5_brightness_normalized_keypoints,0
user5_noise_normalized_keypoints,0
user6_original_normalized_keypoints,1
user6_mirrored_normalized_keypoints,1
user6_rotate_normalized_keypoints,1
user6_brightness_normalized_keypoints,1
user6_noise_normalized_keypoints,1
user7_original_normalized_keypoints,0
user7_mirrored_normalized_keypoints,0
user7_rotate_normalized_keypoints,0
user7_brightness_normalized_keypoints,0
user7_noise_normalized_keypoints,0
user8_original_normalized_keypoints,0
user8_mirrored_normalized_keypoints,0
user8_rotate_normalized_keypoints,0
user8_brightness_normalized_keypoints,0
user8_noise_normalized_keypoints,0
user9_original_normalized_keypoints,0
user9_mirrored_normalized_keypoints,0
user9_rotate_normalized_keypoints,0
user9_brightness_normalized_keypoints,0
user9_noise_normalized_keypoints,0
user10_original_normalized_keypoints,0
user10_mirrored_normalized_keypoints,0
user10_rotate_normalized_keypoints,0
user10_brightness_normalized_keypoints,0
user10_noise_normalized_keypoints,0
user11_original_normalized_keypoints,1
user11_mirrored_normalized_keypoints,1
user11_rotate_normalized_keypoints,1
user11_brightness_normalized_keypoints,1
user11_noise_normalized_keypoints,1
user12_original_normalized_keypoints,0
user12_mirrored_normalized_keypoints,0
user12_rotate_normalized_keypoints,0
user12_brightness_normalized_keypoints,0
user12_noise_normalized_keypoints,0
user13_original_normalized_keypoints,0
user13_mirrored_normalized_keypoints,0
user13_rotate_normalized_keypoints,0
user13_brightness_normalized_keypoints,0
user13_noise_normalized_keypoints,0
user14_original_normalized_keypoints,1
user14_mirrored_normalized_keypoints,1
user14_rotate_normalized_keypoints,1
user14_brightness_normalized_keypoints,1
user14_noise_normalized_keypoints,1
user17_original_normalized_keypoints,0
user17_mirrored_normalized_keypoints,0
user17_rotate_normalized_keypoints,0
user17_brightness_normalized_keypoints,0
user17_noise_normalized_keypoints,0
user19_original_normalized_keypoints,0
user19_mirrored_normalized_keypoints,0
user19_rotate_normalized_keypoints,0
user19_brightness_normalized_keypoints,0
user19_noise_normalized_keypoints,0
user20_original_normalized_keypoints,1
user20_mirrored_normalized_keypoints,1
user20_rotate_normalized_keypoints,1
user20_brightness_normalized_keypoints,1
user20_noise_normalized_keypoints,1
user21_original_normalized_keypoints,0
user21_mirrored_normalized_keypoints,0
user21_rotate_normalized_keypoints,0
user21_brightness_normalized_keypoints,0
user21_noise_normalized_keypoints,0
user22_original_normalized_keypoints,0
user22_mirrored_normalized_keypoints,0
user22_rotate_normalized_keypoints,0
user22_brightness_normalized_keypoints,0
user22_noise_normalized_keypoints,0
user100_original_normalized_keypoints,1
user100_mirrored_normalized_keypoints,1
user100_rotate_normalized_keypoints,1
user100_brightness_normalized_keypoints,1
user100_noise_normalized_keypoints,1
user101_original_normalized_keypoints,0
user101_mirrored_normalized_keypoints,0
user101_rotate_normalized_keypoints,0
user101_brightness_normalized_keypoints,0
user101_noise_normalized_keypoints,0
user102_original_normalized_keypoints,0
user102_mirrored_normalized_keypoints,0
user102_rotate_normalized_keypoints,0
user102_brightness_normalized_keypoints,0
user102_noise_normalized_keypoints,0
