video,label
user1_original_keypoints.mp4,1
user1_mirrored_keypoints.mp4,1
user1_rotate_keypoints.mp4,1
user1_brightness_keypoints.mp4,1
user1_noise_keypoints.mp4,1
user2_original_keypoints.mp4,0
user2_mirrored_keypoints.mp4,0
user2_rotate_keypoints.mp4,0
user2_brightness_keypoints.mp4,0
user2_noise_keypoints.mp4,0
user3_original_keypoints.mp4,0
user3_mirrored_keypoints.mp4,0
user3_rotate_keypoints.mp4,0
user3_brightness_keypoints.mp4,0
user3_noise_keypoints.mp4,0
user5_original_keypoints.mp4,0
user5_mirrored_keypoints.mp4,0
user5_rotate_keypoints.mp4,0
user5_brightness_keypoints.mp4,0
user5_noise_keypoints.mp4,0
user8_original_keypoints.mp4,1
user8_mirrored_keypoints.mp4,1
user8_rotate_keypoints.mp4,1
user8_brightness_keypoints.mp4,1
user8_noise_keypoints.mp4,1
user12_original_keypoints.mp4,0
user12_mirrored_keypoints.mp4,0
user12_rotate_keypoints.mp4,0
user12_brightness_keypoints.mp4,0
user12_noise_keypoints.mp4,0
user13_original_keypoints.mp4,1
user13_mirrored_keypoints.mp4,1
user13_rotate_keypoints.mp4,1
user13_brightness_keypoints.mp4,1
user13_noise_keypoints.mp4,1
user19_original_keypoints.mp4,0
user19_mirrored_keypoints.mp4,0
user19_rotate_keypoints.mp4,0
user19_brightness_keypoints.mp4,0
user19_noise_keypoints.mp4,0
user20_original_keypoints.mp4,0
user20_mirrored_keypoints.mp4,0
user20_rotate_keypoints.mp4,0
user20_brightness_keypoints.mp4,0
user20_noise_keypoints.mp4,0
user22_original_keypoints.mp4,0
user22_mirrored_keypoints.mp4,0
user22_rotate_keypoints.mp4,0
user22_brightness_keypoints.mp4,0
user22_noise_keypoints.mp4,0
user23_original_keypoints.mp4,1
user23_mirrored_keypoints.mp4,1
user23_rotate_keypoints.mp4,1
user23_brightness_keypoints.mp4,1
user23_noise_keypoints.mp4,1
